model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso
Linear Regression +NLP,8,0.0056205454800683785,0.07497029731879405,0.05689697068079405,-0.008338822151558789,0.000408172607421875,4.2438507080078125e-05,622,2026-05-07T22:54:10.029007+00:00,2026-05-07T22:54:10.029418+00:00,2026-05-07T22:54:10.029421+00:00,2026-05-07T22:54:10.029465+00:00
Linear Regression,9,0.005647076821901055,0.0751470346846837,0.05725683789405425,-0.013098606067289298,0.0003726482391357422,4.220008850097656e-05,622,2026-05-07T22:54:10.029838+00:00,2026-05-07T22:54:10.030215+00:00,2026-05-07T22:54:10.030218+00:00,2026-05-07T22:54:10.030262+00:00
Linear Regression +NLP,9,0.0056205454800683785,0.07497029731879405,0.05689697068079405,-0.008338822151558789,0.00040912628173828125,4.9114227294921875e-05,622,2026-05-07T22:54:10.030643+00:00,2026-05-07T22:54:10.031055+00:00,2026-05-07T22:54:10.031058+00:00,2026-05-07T22:54:10.031109+00:00
Ridge,0,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.0004565715789794922,5.221366882324219e-05,622,2026-05-07T22:54:10.031506+00:00,2026-05-07T22:54:10.031966+00:00,2026-05-07T22:54:10.031970+00:00,2026-05-07T22:54:10.032024+00:00
Ridge +NLP,0,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.00035691261291503906,5.507469177246094e-05,622,2026-05-07T22:54:10.032414+00:00,2026-05-07T22:54:10.032774+00:00,2026-05-07T22:54:10.032778+00:00,2026-05-07T22:54:10.032835+00:00
Ridge,1,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.0003368854522705078,4.076957702636719e-05,622,2026-05-07T22:54:10.033288+00:00,2026-05-07T22:54:10.033628+00:00,2026-05-07T22:54:10.033631+00:00,2026-05-07T22:54:10.033674+00:00
Ridge +NLP,1,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.0003409385681152344,4.3392181396484375e-05,622,2026-05-07T22:54:10.034021+00:00,2026-05-07T22:54:10.034365+00:00,2026-05-07T22:54:10.034368+00:00,2026-05-07T22:54:10.034413+00:00
Ridge,2,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.00030803680419921875,4.649162292480469e-05,622,2026-05-07T22:54:10.034782+00:00,2026-05-07T22:54:10.035094+00:00,2026-05-07T22:54:10.035097+00:00,2026-05-07T22:54:10.035145+00:00
Ridge +NLP,2,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.00032401084899902344,4.172325134277344e-05,622,2026-05-07T22:54:10.035529+00:00,2026-05-07T22:54:10.035857+00:00,2026-05-07T22:54:10.035859+00:00,2026-05-07T22:54:10.035902+00:00
Ridge,3,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.0003209114074707031,4.220008850097656e-05,622,2026-05-07T22:54:10.036283+00:00,2026-05-07T22:54:10.036608+00:00,2026-05-07T22:54:10.036612+00:00,2026-05-07T22:54:10.036655+00:00
Ridge +NLP,3,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.0003376007080078125,4.315376281738281e-05,622,2026-05-07T22:54:10.037011+00:00,2026-05-07T22:54:10.037352+00:00,2026-05-07T22:54:10.037356+00:00,2026-05-07T22:54:10.037401+00:00
Ridge,4,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.00030493736267089844,4.076957702636719e-05,622,2026-05-07T22:54:10.037771+00:00,2026-05-07T22:54:10.038080+00:00,2026-05-07T22:54:10.038083+00:00,2026-05-07T22:54:10.038125+00:00
Ridge +NLP,4,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.0003342628479003906,4.220008850097656e-05,622,2026-05-07T22:54:10.038482+00:00,2026-05-07T22:54:10.038821+00:00,2026-05-07T22:54:10.038824+00:00,2026-05-07T22:54:10.038868+00:00
Ridge,5,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.0003170967102050781,5.53131103515625e-05,622,2026-05-07T22:54:10.039232+00:00,2026-05-07T22:54:10.039552+00:00,2026-05-07T22:54:10.039556+00:00,2026-05-07T22:54:10.039612+00:00
Ridge +NLP,5,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.0003314018249511719,4.458427429199219e-05,622,2026-05-07T22:54:10.039993+00:00,2026-05-07T22:54:10.040328+00:00,2026-05-07T22:54:10.040331+00:00,2026-05-07T22:54:10.040377+00:00
Ridge,6,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.00031638145446777344,4.076957702636719e-05,622,2026-05-07T22:54:10.040738+00:00,2026-05-07T22:54:10.041059+00:00,2026-05-07T22:54:10.041062+00:00,2026-05-07T22:54:10.041104+00:00
Ridge +NLP,6,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.00033855438232421875,4.315376281738281e-05,622,2026-05-07T22:54:10.041460+00:00,2026-05-07T22:54:10.041802+00:00,2026-05-07T22:54:10.041805+00:00,2026-05-07T22:54:10.041850+00:00
Ridge,7,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.0003116130828857422,5.054473876953125e-05,622,2026-05-07T22:54:10.042220+00:00,2026-05-07T22:54:10.042535+00:00,2026-05-07T22:54:10.042539+00:00,2026-05-07T22:54:10.042591+00:00
Ridge +NLP,7,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.0003325939178466797,4.553794860839844e-05,622,2026-05-07T22:54:10.042973+00:00,2026-05-07T22:54:10.043309+00:00,2026-05-07T22:54:10.043312+00:00,2026-05-07T22:54:10.043359+00:00
Ridge,8,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.00032591819763183594,4.267692565917969e-05,622,2026-05-07T22:54:10.043725+00:00,2026-05-07T22:54:10.044054+00:00,2026-05-07T22:54:10.044058+00:00,2026-05-07T22:54:10.044102+00:00
Ridge +NLP,8,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.00032901763916015625,4.744529724121094e-05,622,2026-05-07T22:54:10.044465+00:00,2026-05-07T22:54:10.044798+00:00,2026-05-07T22:54:10.044801+00:00,2026-05-07T22:54:10.044850+00:00
Ridge,9,0.005646600983318498,0.07514386856769152,0.05726801978203018,-0.013013239528121279,0.0003197193145751953,4.172325134277344e-05,622,2026-05-07T22:54:10.045241+00:00,2026-05-07T22:54:10.045564+00:00,2026-05-07T22:54:10.045567+00:00,2026-05-07T22:54:10.045610+00:00
Ridge +NLP,9,0.005619211890675819,0.07496140267281436,0.056905830331671826,-0.008099573138790284,0.00033211708068847656,4.291534423828125e-05,622,2026-05-07T22:54:10.045967+00:00,2026-05-07T22:54:10.046303+00:00,2026-05-07T22:54:10.046307+00:00,2026-05-07T22:54:10.046351+00:00
Lasso,0,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.008408069610595703,9.703636169433594e-05,622,2026-05-07T22:54:10.046718+00:00,2026-05-07T22:54:10.055130+00:00,2026-05-07T22:54:10.055137+00:00,2026-05-07T22:54:10.055238+00:00
Lasso +NLP,0,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00046062469482421875,6.198883056640625e-05,622,2026-05-07T22:54:10.055789+00:00,2026-05-07T22:54:10.056254+00:00,2026-05-07T22:54:10.056259+00:00,2026-05-07T22:54:10.056323+00:00
Lasso,1,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00044846534729003906,6.29425048828125e-05,622,2026-05-07T22:54:10.056849+00:00,2026-05-07T22:54:10.057302+00:00,2026-05-07T22:54:10.057307+00:00,2026-05-07T22:54:10.057372+00:00
Lasso +NLP,1,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.000457763671875,6.67572021484375e-05,622,2026-05-07T22:54:10.057874+00:00,2026-05-07T22:54:10.058336+00:00,2026-05-07T22:54:10.058341+00:00,2026-05-07T22:54:10.058410+00:00
Lasso,2,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0004630088806152344,6.246566772460938e-05,622,2026-05-07T22:54:10.058955+00:00,2026-05-07T22:54:10.059422+00:00,2026-05-07T22:54:10.059427+00:00,2026-05-07T22:54:10.059492+00:00
