model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
Linear Regression +NLP,5,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.000417947769165,4.482269287109375e-05,622,2026-05-07T22:54:10.024042+00:00,2026-05-07T22:54:10.024463+00:00,2026-05-07T22:54:10.024467+00:00,2026-05-07T22:54:10.024513+00:00,6.323263337002232e-09,8.314954652777778e-09,1.463821798978001e-08,0.000421,4,6.909028824277974e-10,9.085223611111113e-10,1.5994252435389086e-09,4.6e-05,4
Linear Regression,6,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003647804260253,6.866455078125e-05,622,2026-05-07T22:54:10.024883+00:00,2026-05-07T22:54:10.025251+00:00,2026-05-07T22:54:10.025255+00:00,2026-05-07T22:54:10.025325+00:00,5.527223059422379e-09,7.268178888888891e-09,1.2795401948311269e-08,0.000368,4,1.051373951520561e-09,1.3825340277777778e-09,2.4339079792983387e-09,7e-05,4
Linear Regression +NLP,6,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004258155822753,5.1021575927734375e-05,622,2026-05-07T22:54:10.025717+00:00,2026-05-07T22:54:10.026147+00:00,2026-05-07T22:54:10.026151+00:00,2026-05-07T22:54:10.026203+00:00,6.458439987912019e-09,8.49270902777778e-09,1.49511490156898e-08,0.00043,4,7.810206497009882e-10,1.0270252777777778e-09,1.808045927478766e-09,5.2e-05,4
Linear Regression,7,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003669261932373,4.2438507080078125e-05,622,2026-05-07T22:54:10.026618+00:00,2026-05-07T22:54:10.026989+00:00,2026-05-07T22:54:10.026992+00:00,2026-05-07T22:54:10.027036+00:00,5.572281943058974e-09,7.327430347222224e-09,1.28997122902812e-08,0.000371,4,6.60863626670067e-10,8.69021388888889e-10,1.529885015558956e-09,4.4e-05,4
Linear Regression +NLP,7,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004160404205322,4.315376281738281e-05,622,2026-05-07T22:54:10.027395+00:00,2026-05-07T22:54:10.027815+00:00,2026-05-07T22:54:10.027818+00:00,2026-05-07T22:54:10.027863+00:00,6.308243709123366e-09,8.295204166666668e-09,1.4603447875790034e-08,0.00042,4,6.758832545489322e-10,8.887718750000002e-10,1.5646551295489325e-09,4.5e-05,4
Linear Regression,8,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003643035888671,4.363059997558594e-05,622,2026-05-07T22:54:10.028221+00:00,2026-05-07T22:54:10.028589+00:00,2026-05-07T22:54:10.028593+00:00,2026-05-07T22:54:10.028638+00:00,5.527223059422379e-09,7.268178888888891e-09,1.2795401948311269e-08,0.000368,4,6.758832545489322e-10,8.887718750000002e-10,1.5646551295489325e-09,4.5e-05,4
Linear Regression +NLP,8,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004081726074218,4.2438507080078125e-05,622,2026-05-07T22:54:10.029007+00:00,2026-05-07T22:54:10.029418+00:00,2026-05-07T22:54:10.029421+00:00,2026-05-07T22:54:10.029465+00:00,6.17306705821358e-09,8.117449791666668e-09,1.4290516849880248e-08,0.000411,4,6.60863626670067e-10,8.69021388888889e-10,1.529885015558956e-09,4.4e-05,4
Linear Regression,9,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003726482391357,4.220008850097656e-05,622,2026-05-07T22:54:10.029838+00:00,2026-05-07T22:54:10.030215+00:00,2026-05-07T22:54:10.030218+00:00,2026-05-07T22:54:10.030262+00:00,5.662399710332164e-09,7.445933263888889e-09,1.3108332974221053e-08,0.000377,4,6.60863626670067e-10,8.69021388888889e-10,1.529885015558956e-09,4.4e-05,4
Linear Regression +NLP,9,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004091262817382,4.911422729492188e-05,622,2026-05-07T22:54:10.030643+00:00,2026-05-07T22:54:10.031055+00:00,2026-05-07T22:54:10.031058+00:00,2026-05-07T22:54:10.031109+00:00,6.188086686092445e-09,8.13720027777778e-09,1.4325286963870225e-08,0.000412,4,7.66001021822123e-10,1.0072747916666668e-09,1.7732758134887898e-09,5.1e-05,4
Ridge,0,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0004565715789794,5.221366882324219e-05,622,2026-05-07T22:54:10.031506+00:00,2026-05-07T22:54:10.031966+00:00,2026-05-07T22:54:10.031970+00:00,2026-05-07T22:54:10.032024+00:00,6.909028824277974e-09,9.085223611111114e-09,1.5994252435389088e-08,0.00046,4,8.110599054587185e-10,1.06652625e-09,1.8775861554587187e-09,5.4e-05,4
