model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
Lasso,4,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004541873931884,6.103515625e-05,622,2026-05-07T22:54:10.063216+00:00,2026-05-07T22:54:10.063675+00:00,2026-05-07T22:54:10.063679+00:00,2026-05-07T22:54:10.063743+00:00,8.791146956221416e-09,8.561720625e-09,1.7352867581221416e-08,0.000459,4,1.2257808392117007e-09,1.1937911111111112e-09,2.4195719503228117e-09,6.4e-05,4
Lasso +NLP,4,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004711151123046,6.461143493652344e-05,622,2026-05-07T22:54:10.064252+00:00,2026-05-07T22:54:10.064728+00:00,2026-05-07T22:54:10.064733+00:00,2026-05-07T22:54:10.064800+00:00,9.116744991637025e-09,8.87882138888889e-09,1.7995566380525917e-08,0.000476,4,1.2832393160497492e-09,1.2497500694444445e-09,2.5329893854941937e-09,6.7e-05,4
Lasso,5,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004498958587646,6.151199340820312e-05,622,2026-05-07T22:54:10.065325+00:00,2026-05-07T22:54:10.065780+00:00,2026-05-07T22:54:10.065785+00:00,2026-05-07T22:54:10.065849+00:00,8.714535653770685e-09,8.487108680555556e-09,1.7201644334326243e-08,0.000455,4,1.2257808392117007e-09,1.1937911111111112e-09,2.4195719503228117e-09,6.4e-05,4
Lasso +NLP,5,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004751682281494,6.341934204101562e-05,622,2026-05-07T22:54:10.066362+00:00,2026-05-07T22:54:10.066842+00:00,2026-05-07T22:54:10.066846+00:00,2026-05-07T22:54:10.066912+00:00,9.193356294087756e-09,8.953433333333334e-09,1.814678962742109e-08,0.00048,4,1.2640864904370665e-09,1.2310970833333336e-09,2.4951835737704e-09,6.6e-05,4
Lasso,6,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004754066467285,6.508827209472656e-05,622,2026-05-07T22:54:10.067449+00:00,2026-05-07T22:54:10.067929+00:00,2026-05-07T22:54:10.067934+00:00,2026-05-07T22:54:10.068001+00:00,9.193356294087756e-09,8.953433333333334e-09,1.814678962742109e-08,0.00048,4,1.2832393160497492e-09,1.2497500694444445e-09,2.5329893854941937e-09,6.7e-05,4
Lasso +NLP,6,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004675388336181,6.365776062011719e-05,622,2026-05-07T22:54:10.068534+00:00,2026-05-07T22:54:10.069006+00:00,2026-05-07T22:54:10.069010+00:00,2026-05-07T22:54:10.069076+00:00,9.040133689186291e-09,8.804209444444444e-09,1.7844343133630734e-08,0.000472,4,1.2640864904370665e-09,1.2310970833333336e-09,2.4951835737704e-09,6.6e-05,4
Lasso,7,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004572868347167,6.365776062011719e-05,622,2026-05-07T22:54:10.069599+00:00,2026-05-07T22:54:10.070061+00:00,2026-05-07T22:54:10.070066+00:00,2026-05-07T22:54:10.070132+00:00,8.848605433059465e-09,8.617679583333333e-09,1.7466285016392798e-08,0.000462,4,1.2640864904370665e-09,1.2310970833333336e-09,2.4951835737704e-09,6.6e-05,4
Lasso +NLP,7,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.000478982925415,6.341934204101562e-05,622,2026-05-07T22:54:10.070679+00:00,2026-05-07T22:54:10.071163+00:00,2026-05-07T22:54:10.071167+00:00,2026-05-07T22:54:10.071233+00:00,9.269967596538487e-09,9.028045277777777e-09,1.8298012874316262e-08,0.000484,4,1.2640864904370665e-09,1.2310970833333336e-09,2.4951835737704e-09,6.6e-05,4
Lasso,8,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004692077636718,6.413459777832031e-05,622,2026-05-07T22:54:10.071779+00:00,2026-05-07T22:54:10.072253+00:00,2026-05-07T22:54:10.072258+00:00,2026-05-07T22:54:10.072325+00:00,9.078439340411659e-09,8.841515416666667e-09,1.7919954757078326e-08,0.000474,4,1.2832393160497492e-09,1.2497500694444445e-09,2.5329893854941937e-09,6.7e-05,4
Lasso +NLP,8,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004692077636718,6.318092346191406e-05,622,2026-05-07T22:54:10.072870+00:00,2026-05-07T22:54:10.073344+00:00,2026-05-07T22:54:10.073348+00:00,2026-05-07T22:54:10.073414+00:00,9.078439340411659e-09,8.841515416666667e-09,1.7919954757078326e-08,0.000474,4,1.2640864904370665e-09,1.2310970833333336e-09,2.4951835737704e-09,6.6e-05,4
Lasso,9,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004537105560302,6.29425048828125e-05,622,2026-05-07T22:54:10.073948+00:00,2026-05-07T22:54:10.074406+00:00,2026-05-07T22:54:10.074411+00:00,2026-05-07T22:54:10.074476+00:00,8.771994130608734e-09,8.54306763888889e-09,1.7315061769497625e-08,0.000458,4,1.2449336648243834e-09,1.2124440972222221e-09,2.4573777620466057e-09,6.5e-05,4
Lasso +NLP,9,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004727840423583,6.866455078125e-05,622,2026-05-07T22:54:10.075011+00:00,2026-05-07T22:54:10.075489+00:00,2026-05-07T22:54:10.075493+00:00,2026-05-07T22:54:10.075565+00:00,9.15505064286239e-09,8.91612736111111e-09,1.80711780039735e-08,0.000478,4,1.3790034441131632e-09,1.343015e-09,2.722018444113163e-09,7.2e-05,4
Elastic Net,0,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004754066467285,6.437301635742188e-05,622,2026-05-07T22:54:10.076131+00:00,2026-05-07T22:54:10.076612+00:00,2026-05-07T22:54:10.076616+00:00,2026-05-07T22:54:10.076683+00:00,9.212509119700438e-09,8.972086319444444e-09,1.818459543914488e-08,0.000481,4,1.2832393160497492e-09,1.2497500694444445e-09,2.5329893854941937e-09,6.7e-05,4
Elastic Net +NLP,0,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004806518554687,6.699562072753906e-05,622,2026-05-07T22:54:10.077205+00:00,2026-05-07T22:54:10.077691+00:00,2026-05-07T22:54:10.077696+00:00,2026-05-07T22:54:10.077765+00:00,9.308273247763853e-09,9.06535125e-09,1.8373624497763854e-08,0.000486,4,1.3215449672751148e-09,1.2870560416666666e-09,2.6086010089417817e-09,6.9e-05,4
Elastic Net,1,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004835128784179,6.604194641113281e-05,622,2026-05-07T22:54:10.078322+00:00,2026-05-07T22:54:10.078810+00:00,2026-05-07T22:54:10.078815+00:00,2026-05-07T22:54:10.078883+00:00,9.346578898989217e-09,9.102657222222222e-09,1.8449236121211438e-08,0.000488,4,1.3023921416624321e-09,1.2684030555555557e-09,2.5707951972179877e-09,6.8e-05,4
Elastic Net +NLP,1,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0005643367767333,8.058547973632812e-05,622,2026-05-07T22:54:10.079440+00:00,2026-05-07T22:54:10.080010+00:00,2026-05-07T22:54:10.080015+00:00,2026-05-07T22:54:10.080099+00:00,1.091711059922921e-08,1.0632202083333333e-08,2.1549312682562545e-08,0.00057,4,1.608837351465357e-09,1.5668508333333331e-09,3.17568818479869e-09,8.4e-05,4
Elastic Net,2,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0006341934204101,8.511543273925781e-05,622,2026-05-07T22:54:10.080802+00:00,2026-05-07T22:54:10.081442+00:00,2026-05-07T22:54:10.081448+00:00,2026-05-07T22:54:10.081537+00:00,1.2257808392117008e-08,1.1937911111111112e-08,2.419571950322812e-08,0.00064,4,1.704601479528771e-09,1.6601157638888887e-09,3.3647172434176597e-09,8.9e-05,4
Elastic Net +NLP,2,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0006570816040039,9.369850158691406e-05,622,2026-05-07T22:54:10.082254+00:00,2026-05-07T22:54:10.082917+00:00,2026-05-07T22:54:10.082924+00:00,2026-05-07T22:54:10.083021+00:00,1.2698323381208713e-08,1.2366929791666666e-08,2.506525317287538e-08,0.000663,4,1.8578240844302339e-09,1.8093396527777777e-09,3.6671637372080116e-09,9.7e-05,4
Elastic Net,3,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0006577968597412,9.226799011230467e-05,622,2026-05-07T22:54:10.083803+00:00,2026-05-07T22:54:10.084468+00:00,2026-05-07T22:54:10.084474+00:00,2026-05-07T22:54:10.084570+00:00,1.2736629032434077e-08,1.2404235763888892e-08,2.5140864796322967e-08,0.000665,4,1.8386712588175512e-09,1.7906866666666669e-09,3.629357925484218e-09,9.6e-05,4
Elastic Net +NLP,3,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007247924804687,9.79900360107422e-05,622,2026-05-07T22:54:10.085333+00:00,2026-05-07T22:54:10.086064+00:00,2026-05-07T22:54:10.086072+00:00,2026-05-07T22:54:10.086174+00:00,1.4000715522871143e-08,1.3635332847222222e-08,2.7636048370093363e-08,0.000731,4,1.9535882124936478e-09,1.9026045833333333e-09,3.8561927958269815e-09,0.000102,4
Elastic Net,4,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007121562957763,9.989738464355467e-05,622,2026-05-07T22:54:10.087024+00:00,2026-05-07T22:54:10.087743+00:00,2026-05-07T22:54:10.087750+00:00,2026-05-07T22:54:10.087854+00:00,1.3770881615518949e-08,1.341149701388889e-08,2.718237862940784e-08,0.000719,4,1.9918938637190136e-09,1.9399105555555555e-09,3.9318044192745695e-09,0.000104,4
Elastic Net +NLP,4,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007660388946533,9.989738464355467e-05,622,2026-05-07T22:54:10.088713+00:00,2026-05-07T22:54:10.089487+00:00,2026-05-07T22:54:10.089494+00:00,2026-05-07T22:54:10.089598+00:00,1.4824287024216503e-08,1.4437411249999998e-08,2.92616982742165e-08,0.000774,4,1.9918938637190136e-09,1.9399105555555555e-09,3.9318044192745695e-09,0.000104,4
Elastic Net,5,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007174015045166,0.0001022815704345,622,2026-05-07T22:54:10.090440+00:00,2026-05-07T22:54:10.091165+00:00,2026-05-07T22:54:10.091172+00:00,2026-05-07T22:54:10.091278+00:00,1.3885798569195046e-08,1.3523414930555554e-08,2.74092134997506e-08,0.000725,4,2.0301995149443794e-09,1.977216527777778e-09,4.0074160427221575e-09,0.000106,4
Elastic Net +NLP,5,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007596015930175,9.72747802734375e-05,622,2026-05-07T22:54:10.092132+00:00,2026-05-07T22:54:10.092899+00:00,2026-05-07T22:54:10.092906+00:00,2026-05-07T22:54:10.093007+00:00,1.4690217244927724e-08,1.4306840347222222e-08,2.8997057592149947e-08,0.000767,4,1.934435386880965e-09,1.8839515972222224e-09,3.8183869841031875e-09,0.000101,4
Elastic Net,6,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007174015045166,9.41753387451172e-05,622,2026-05-07T22:54:10.093845+00:00,2026-05-07T22:54:10.094569+00:00,2026-05-07T22:54:10.094576+00:00,2026-05-07T22:54:10.094674+00:00,1.3866645743582364e-08,1.3504761944444445e-08,2.737140768802681e-08,0.000724,4,1.8769769100429166e-09,1.827992638888889e-09,3.7049695489318056e-09,9.8e-05,4
Elastic Net +NLP,6,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007746219635009,0.0001003742218017,622,2026-05-07T22:54:10.095524+00:00,2026-05-07T22:54:10.096307+00:00,2026-05-07T22:54:10.096314+00:00,2026-05-07T22:54:10.096418+00:00,1.4996662454730647e-08,1.4605288124999999e-08,2.9601950579730644e-08,0.000783,4,1.9918938637190136e-09,1.9399105555555555e-09,3.9318044192745695e-09,0.000104,4
Elastic Net,7,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007545948028564,0.000101089477539,622,2026-05-07T22:54:10.097254+00:00,2026-05-07T22:54:10.098016+00:00,2026-05-07T22:54:10.098023+00:00,2026-05-07T22:54:10.098129+00:00,1.459445311686431e-08,1.4213575416666668e-08,2.8808028533530977e-08,0.000762,4,2.0301995149443794e-09,1.977216527777778e-09,4.0074160427221575e-09,0.000106,4
Elastic Net +NLP,7,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007596015930175,0.0001001358032226,622,2026-05-07T22:54:10.098982+00:00,2026-05-07T22:54:10.099749+00:00,2026-05-07T22:54:10.099757+00:00,2026-05-07T22:54:10.099861+00:00,1.4690217244927724e-08,1.4306840347222222e-08,2.8997057592149947e-08,0.000767,4,1.9918938637190136e-09,1.9399105555555555e-09,3.9318044192745695e-09,0.000104,4
Elastic Net,8,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007555484771728,0.0001008510589599,622,2026-05-07T22:54:10.100706+00:00,2026-05-07T22:54:10.101469+00:00,2026-05-07T22:54:10.101476+00:00,2026-05-07T22:54:10.101581+00:00,1.4613605942476993e-08,1.4232228402777776e-08,2.884583434525477e-08,0.000763,4,2.0110466893316967e-09,1.9585635416666667e-09,3.9696102309983635e-09,0.000105,4
Elastic Net +NLP,8,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007491111755371,0.0001063346862792,622,2026-05-07T22:54:10.102434+00:00,2026-05-07T22:54:10.103190+00:00,2026-05-07T22:54:10.103197+00:00,2026-05-07T22:54:10.103307+00:00,1.4479536163188217e-08,1.4101657500000003e-08,2.858119366318822e-08,0.000756,4,2.1068108173951103e-09,2.0518284722222223e-09,4.1586392896173326e-09,0.00011,4
Elastic Net,9,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0007359981536865,9.679794311523438e-05,622,2026-05-07T22:54:10.104199+00:00,2026-05-07T22:54:10.104942+00:00,2026-05-07T22:54:10.104949+00:00,2026-05-07T22:54:10.105050+00:00,1.4230549430223335e-08,1.3859168680555556e-08,2.808971811077889e-08,0.000743,4,1.934435386880965e-09,1.8839515972222224e-09,3.8183869841031875e-09,0.000101,4
Elastic Net +NLP,9,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0011646747589111,0.0001060962677001,622,2026-05-07T22:54:10.105894+00:00,2026-05-07T22:54:10.107066+00:00,2026-05-07T22:54:10.107074+00:00,2026-05-07T22:54:10.107184+00:00,2.2447111618064273e-08,2.1861299722222228e-08,4.43084113402865e-08,0.001172,4,2.1068108173951103e-09,2.0518284722222223e-09,4.1586392896173326e-09,0.00011,4
XGBoost,0,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.182265043258667,0.0014646053314208,622,2026-05-07T22:54:10.108120+00:00,2026-05-07T22:54:10.290394+00:00,2026-05-07T22:54:10.290402+00:00,2026-05-07T22:54:10.291870+00:00,3.4910621357261485e-06,3.3999543904166665e-06,6.8910165261428155e-06,0.182274,4,2.8116347999418383e-08,2.7382583611111108e-08,5.549893161052949e-08,0.001468,4
XGBoost +NLP,0,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.1246967315673828,0.0012402534484863,622,2026-05-07T22:54:10.292714+00:00,2026-05-07T22:54:10.417419+00:00,2026-05-07T22:54:10.417428+00:00,2026-05-07T22:54:10.418671+00:00,2.388453118029611e-06,2.326120632986111e-06,4.714573751015722e-06,0.124705,4,2.3806962236564745e-08,2.3185661736111112e-08,4.699262397267586e-08,0.001243,4
XGBoost,1,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0752811431884765,0.000885009765625,622,2026-05-07T22:54:10.419525+00:00,2026-05-07T22:54:10.494815+00:00,2026-05-07T22:54:10.494824+00:00,2026-05-07T22:54:10.495712+00:00,1.4420162403788897e-06,1.4043833243055554e-06,2.846399564684445e-06,0.07529,4,1.7007709144062344e-08,1.6563851666666665e-08,3.3571560810729006e-08,0.000888,4
XGBoost +NLP,1,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0538296699523925,0.0006835460662841,622,2026-05-07T22:54:10.496503+00:00,2026-05-07T22:54:10.550341+00:00,2026-05-07T22:54:10.550349+00:00,2026-05-07T22:54:10.551035+00:00,1.031149825335618e-06,1.0042394662500002e-06,2.035389291585618e-06,0.053838,4,1.3138838370300417e-08,1.2795948472222222e-08,2.593478684252264e-08,0.000686,4
XGBoost,2,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0371272563934326,0.0006053447723388,622,2026-05-07T22:54:10.551678+00:00,2026-05-07T22:54:10.588812+00:00,2026-05-07T22:54:10.588819+00:00,2026-05-07T22:54:10.589426+00:00,7.11221026301364e-07,6.9265998625e-07,1.403881012551364e-06,0.037134,4,1.1625765146898473e-08,1.1322362569444445e-08,2.2948127716342916e-08,0.000607,4
XGBoost +NLP,2,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0411765575408935,0.0006108283996582,622,2026-05-07T22:54:10.589992+00:00,2026-05-07T22:54:10.631174+00:00,2026-05-07T22:54:10.631181+00:00,2026-05-07T22:54:10.631794+00:00,7.887516643815041e-07,7.681672740277778e-07,1.5569189384092818e-06,0.041182,4,1.1740682100574572e-08,1.1434280486111113e-08,2.3174962586685686e-08,0.000613,4
XGBoost,3,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0340018272399902,0.0006189346313476,622,2026-05-07T22:54:10.632387+00:00,2026-05-07T22:54:10.666395+00:00,2026-05-07T22:54:10.666402+00:00,2026-05-07T22:54:10.667023+00:00,6.513492934361174e-07,6.343507516666666e-07,1.285700045102784e-06,0.034008,4,1.1893904705476035e-08,1.1583504375000002e-08,2.3477409080476038e-08,0.000621,4
XGBoost +NLP,3,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0392727851867675,0.0005981922149658,622,2026-05-07T22:54:10.667638+00:00,2026-05-07T22:54:10.706917+00:00,2026-05-07T22:54:10.706925+00:00,2026-05-07T22:54:10.707526+00:00,7.523038372405686e-07,7.326706414583334e-07,1.484974478698902e-06,0.039279,4,1.1510848193222377e-08,1.1210444652777778e-08,2.2721292846000155e-08,0.000601,4
XGBoost,4,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0336880683898925,0.0005745887756347,622,2026-05-07T22:54:10.708105+00:00,2026-05-07T22:54:10.741799+00:00,2026-05-07T22:54:10.741806+00:00,2026-05-07T22:54:10.742383+00:00,6.45335306193735e-07,6.284937140277778e-07,1.2738290202215129e-06,0.033694,4,1.1051180378517991e-08,1.0762772986111114e-08,2.1813953364629103e-08,0.000577,4
XGBoost +NLP,4,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0392773151397705,0.0005807876586914,622,2026-05-07T22:54:10.742927+00:00,2026-05-07T22:54:10.782210+00:00,2026-05-07T22:54:10.782217+00:00,2026-05-07T22:54:10.782800+00:00,7.523804485430194e-07,7.327452534027778e-07,1.4851257019457971e-06,0.039283,4,1.1166097332194086e-08,1.0874690902777779e-08,2.2040788234971867e-08,0.000583,4
XGBoost,5,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0337755680084228,0.0005736351013183,622,2026-05-07T22:54:10.783390+00:00,2026-05-07T22:54:10.817172+00:00,2026-05-07T22:54:10.817178+00:00,2026-05-07T22:54:10.817754+00:00,6.470207548476512e-07,6.301351768055557e-07,1.277155931653207e-06,0.033782,4,1.1032027552905305e-08,1.074412e-08,2.1776147552905306e-08,0.000576,4
XGBoost +NLP,5,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0399868488311767,0.0005953311920166,622,2026-05-07T22:54:10.818281+00:00,2026-05-07T22:54:10.858274+00:00,2026-05-07T22:54:10.858281+00:00,2026-05-07T22:54:10.858878+00:00,7.659789547280241e-07,7.459888735416667e-07,1.511967828269691e-06,0.039993,4,1.1434236890771645e-08,1.1135832708333331e-08,2.2570069599104976e-08,0.000597,4
XGBoost,6,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0339643955230712,0.0005881786346435,622,2026-05-07T22:54:10.859500+00:00,2026-05-07T22:54:10.893470+00:00,2026-05-07T22:54:10.893478+00:00,2026-05-07T22:54:10.894068+00:00,6.506214860628355e-07,6.336419381944445e-07,1.28426342425728e-06,0.03397,4,1.1300167111482867e-08,1.1005261805555557e-08,2.2305428917038425e-08,0.00059,4
XGBoost +NLP,6,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0393576622009277,0.0005900859832763,622,2026-05-07T22:54:10.894609+00:00,2026-05-07T22:54:10.933973+00:00,2026-05-07T22:54:10.933980+00:00,2026-05-07T22:54:10.934572+00:00,7.539318274176468e-07,7.342561452777778e-07,1.4881879726954246e-06,0.039364,4,1.133847276270823e-08,1.1042567777777778e-08,2.2381040540486006e-08,0.000592,4
XGBoost,7,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0341155529022216,0.0005784034729003,622,2026-05-07T22:54:10.935168+00:00,2026-05-07T22:54:10.969289+00:00,2026-05-07T22:54:10.969297+00:00,2026-05-07T22:54:10.969877+00:00,6.535135627303506e-07,6.364585390972222e-07,1.2899721018275728e-06,0.034121,4,1.1108638855356036e-08,1.0818731944444445e-08,2.192737079980048e-08,0.00058,4
XGBoost +NLP,7,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0397801399230957,0.0005800724029541,622,2026-05-07T22:54:10.970421+00:00,2026-05-07T22:54:11.010207+00:00,2026-05-07T22:54:11.010214+00:00,2026-05-07T22:54:11.010796+00:00,7.620143198261989e-07,7.421277054166668e-07,1.5041420252428657e-06,0.039786,4,1.1146944506581404e-08,1.0856037916666667e-08,2.2002982423248073e-08,0.000582,4
XGBoost,8,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0338492393493652,0.0005743503570556,622,2026-05-07T22:54:11.011360+00:00,2026-05-07T22:54:11.045215+00:00,2026-05-07T22:54:11.045221+00:00,2026-05-07T22:54:11.045797+00:00,7.510820784462136e-07,6.47747715e-07,1.3988297934462136e-06,0.033855,5,1.4285394092211322e-08,1.0673600000000002e-08,2.4958994092211325e-08,0.000576,4
XGBoost +NLP,8,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0411217212677001,0.0005948543548583,622,2026-05-07T22:54:11.046339+00:00,2026-05-07T22:54:11.087467+00:00,2026-05-07T22:54:11.087474+00:00,2026-05-07T22:54:11.088071+00:00,1.0200168198341444e-06,7.621246888888889e-07,1.7821415087230333e-06,0.041128,4,1.4806215751823191e-08,1.1062741666666666e-08,2.5868957418489857e-08,0.000597,4
XGBoost,9,0.0063158108845974,0.0794720761311638,0.057609066975558,-0.1330710392596195,0.0359630584716796,0.0005919933319091,622,2026-05-07T22:54:11.088669+00:00,2026-05-07T22:54:11.124639+00:00,2026-05-07T22:54:11.124647+00:00,2026-05-07T22:54:11.125241+00:00,8.920930998209051e-07,6.665440833333335e-07,1.5586371831542386e-06,0.03597,4,1.4731812657592927e-08,1.1007150000000002e-08,2.5738962657592928e-08,0.000594,4
XGBoost +NLP,9,0.0077171966299275,0.0878475761186818,0.0636265287804539,-0.3844828740783543,0.0424995422363281,0.0006022453308105,622,2026-05-07T22:54:11.125796+00:00,2026-05-07T22:54:11.168301+00:00,2026-05-07T22:54:11.168308+00:00,2026-05-07T22:54:11.168914+00:00,1.0541678400858373e-06,7.87641263888889e-07,1.8418091039747263e-06,0.042505,4,1.5029425034513994e-08,1.1229516666666666e-08,2.6258941701180658e-08,0.000606,4
LightGBM,0,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0807797908782959,0.0008025169372558,622,2026-05-07T22:54:11.169505+00:00,2026-05-07T22:54:11.250294+00:00,2026-05-07T22:54:11.250308+00:00,2026-05-07T22:54:11.251114+00:00,2.0036505265896885e-06,1.497065052777778e-06,3.5007155793674667e-06,0.080789,4,1.9989631316531816e-08,1.493562777777778e-08,3.492525909430959e-08,0.000806,4
LightGBM +NLP,0,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.0235497951507568,0.0005486011505126,622,2026-05-07T22:54:11.251885+00:00,2026-05-07T22:54:11.275440+00:00,2026-05-07T22:54:11.275446+00:00,2026-05-07T22:54:11.275997+00:00,5.841882948646487e-07,4.3648723611111113e-07,1.02067553097576e-06,0.023555,4,1.3665368306959092e-08,1.021033611111111e-08,2.3875704418070204e-08,0.000551,4
LightGBM,1,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0229976177215576,0.0007679462432861,622,2026-05-07T22:54:11.276532+00:00,2026-05-07T22:54:11.299536+00:00,2026-05-07T22:54:11.299545+00:00,2026-05-07T22:54:11.300317+00:00,5.705229265576897e-07,4.2627690000000006e-07,9.967998265576898e-07,0.023004,4,1.9146396248588786e-08,1.430558888888889e-08,3.3451985137477675e-08,0.000772,4
LightGBM +NLP,1,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.027350902557373,0.0006167888641357,622,2026-05-07T22:54:11.301351+00:00,2026-05-07T22:54:11.328712+00:00,2026-05-07T22:54:11.328721+00:00,2026-05-07T22:54:11.329340+00:00,6.78581020411448e-07,5.070145305555556e-07,1.1855955509670036e-06,0.027361,4,1.535183844284515e-08,1.1470413888888889e-08,2.6822252331734036e-08,0.000619,4
LightGBM,2,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0226247310638427,0.0005338191986083,622,2026-05-07T22:54:11.329947+00:00,2026-05-07T22:54:11.352578+00:00,2026-05-07T22:54:11.352584+00:00,2026-05-07T22:54:11.353120+00:00,5.612721418417265e-07,4.193650027777778e-07,9.806371446195043e-07,0.022631,4,1.3293352835807759e-08,9.932377777777778e-09,2.3225730613585537e-08,0.000536,4
LightGBM +NLP,2,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.023653507232666,0.0005292892456054,622,2026-05-07T22:54:11.353633+00:00,2026-05-07T22:54:11.377292+00:00,2026-05-07T22:54:11.377298+00:00,2026-05-07T22:54:11.377830+00:00,5.86767602131298e-07,4.3841441388888896e-07,1.0251820160201868e-06,0.023659,4,1.3194148710167403e-08,9.858255555555558e-09,2.305240426572296e-08,0.000532,4
LightGBM,3,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0224690437316894,0.0005221366882324,622,2026-05-07T22:54:11.378342+00:00,2026-05-07T22:54:11.400816+00:00,2026-05-07T22:54:11.400822+00:00,2026-05-07T22:54:11.401346+00:00,5.573783799103424e-07,4.1645570555555556e-07,9.73834085465898e-07,0.022474,4,1.2995740458886691e-08,9.710011111111114e-09,2.2705751569997807e-08,0.000524,4
