model,n_queries,total_tokens,time_s,time_per_query,time_per_token,wall_infer_start_iso,wall_infer_end_iso,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
DistilBERT,1000,128000,0.4525511264801025,0.0004525511264801,3.535555675625801e-06,2026-05-07T22:54:16.677343+00:00,2026-05-07T22:54:17.129910+00:00,5.222959079206794e-06,2.053231108211111e-05,2.5755270161317904e-05,0.452567,5
BERT-base,1000,128000,0.6656167507171631,0.0006656167507171,5.2001308649778366e-06,2026-05-07T22:54:17.348414+00:00,2026-05-07T22:54:18.014042+00:00,7.6270163231706865e-06,3.478202134666666e-05,4.240903766983735e-05,0.665628,4
RoBERTa-base,1000,128000,0.6372065544128418,0.0006372065544128,4.978176206350326e-06,2026-05-07T22:54:18.241535+00:00,2026-05-07T22:54:18.878753+00:00,7.033830287971433e-06,4.58780144525e-05,5.291184474047143e-05,0.637218,4
FinBERT,1000,128000,0.663088321685791,0.0006630883216857,5.180377513170242e-06,2026-05-07T22:54:19.287313+00:00,2026-05-07T22:54:19.950414+00:00,6.699370556955587e-06,5.595918548736112e-05,6.26585560443167e-05,0.663101,4
