model,seed,accuracy,f1,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso
DistilBERT,0,0.4010212097407698,0.34211484588806285,26.118155241012573,0.476543664932251,2546,2026-05-07T22:23:54.084088+00:00,2026-05-07T22:24:20.202253+00:00,2026-05-07T22:24:20.622910+00:00,2026-05-07T22:24:21.099460+00:00
DistilBERT,1,0.3845247446975648,0.3509541537282163,25.527247428894043,0.47742247581481934,2546,2026-05-07T22:24:21.580606+00:00,2026-05-07T22:24:47.107876+00:00,2026-05-07T22:24:47.540034+00:00,2026-05-07T22:24:48.017463+00:00
DistilBERT,2,0.38648860958366066,0.3459068519210486,25.5709490776062,0.4886603355407715,2546,2026-05-07T22:24:48.542874+00:00,2026-05-07T22:25:14.113840+00:00,2026-05-07T22:25:14.548523+00:00,2026-05-07T22:25:15.037191+00:00
DistilBERT,3,0.39591516103692065,0.3462540878785003,25.57655930519104,0.48917126655578613,2546,2026-05-07T22:25:15.548364+00:00,2026-05-07T22:25:41.124940+00:00,2026-05-07T22:25:41.575795+00:00,2026-05-07T22:25:42.064972+00:00
DistilBERT,4,0.4112333071484682,0.34470957164173704,25.57769227027893,0.4863414764404297,2546,2026-05-07T22:25:42.569695+00:00,2026-05-07T22:26:08.147409+00:00,2026-05-07T22:26:08.599582+00:00,2026-05-07T22:26:09.085931+00:00
DistilBERT,5,0.39591516103692065,0.34097049122194273,25.5751895904541,0.490431547164917,2546,2026-05-07T22:26:09.599970+00:00,2026-05-07T22:26:35.175201+00:00,2026-05-07T22:26:35.641163+00:00,2026-05-07T22:26:36.131601+00:00
DistilBERT,6,0.4300864100549882,0.27989095286729093,25.547640323638916,0.4955606460571289,2546,2026-05-07T22:26:36.620919+00:00,2026-05-07T22:27:02.168592+00:00,2026-05-07T22:27:02.626298+00:00,2026-05-07T22:27:03.121865+00:00
DistilBERT,7,0.41280439905734484,0.33485272392964716,25.50549554824829,0.504230260848999,2546,2026-05-07T22:27:03.613554+00:00,2026-05-07T22:27:29.119071+00:00,2026-05-07T22:27:29.581751+00:00,2026-05-07T22:27:30.085988+00:00
DistilBERT,8,0.37470542026708564,0.333463035585072,25.62157678604126,0.5020794868469238,2546,2026-05-07T22:27:30.590046+00:00,2026-05-07T22:27:56.211642+00:00,2026-05-07T22:27:56.687054+00:00,2026-05-07T22:27:57.189139+00:00
DistilBERT,9,0.39002356637863317,0.3343122888368102,25.64586901664734,0.5085282325744629,2546,2026-05-07T22:27:57.712318+00:00,2026-05-07T22:28:23.358216+00:00,2026-05-07T22:28:23.832093+00:00,2026-05-07T22:28:24.340627+00:00
BERT-base,0,0.40298507462686567,0.3397522866918405,45.704797983169556,0.8475227355957031,2546,2026-05-07T22:28:24.989033+00:00,2026-05-07T22:29:10.693845+00:00,2026-05-07T22:29:11.510084+00:00,2026-05-07T22:29:12.357612+00:00
BERT-base,1,0.401413982717989,0.3478805568525974,45.82152605056763,0.8399515151977539,2546,2026-05-07T22:29:13.071055+00:00,2026-05-07T22:29:58.892630+00:00,2026-05-07T22:29:59.714467+00:00,2026-05-07T22:30:00.554424+00:00
BERT-base,2,0.4010212097407698,0.3439447906623871,45.93580389022827,0.855445146560669,2546,2026-05-07T22:30:01.177851+00:00,2026-05-07T22:30:47.113674+00:00,2026-05-07T22:30:47.933555+00:00,2026-05-07T22:30:48.789007+00:00
BERT-base,3,0.401413982717989,0.32871425293131246,46.31859564781189,0.8528692722320557,2546,2026-05-07T22:30:49.411021+00:00,2026-05-07T22:31:35.729639+00:00,2026-05-07T22:31:36.541117+00:00,2026-05-07T22:31:37.393993+00:00
BERT-base,4,0.42026708562450904,0.30487536162928,45.84682035446167,0.8516671657562256,2546,2026-05-07T22:31:38.065302+00:00,2026-05-07T22:32:23.912161+00:00,2026-05-07T22:32:24.733312+00:00,2026-05-07T22:32:25.584985+00:00
BERT-base,5,0.38373919874312645,0.3324315236981686,46.55336380004883,0.8633716106414795,2546,2026-05-07T22:32:26.222640+00:00,2026-05-07T22:33:12.776024+00:00,2026-05-07T22:33:13.610495+00:00,2026-05-07T22:33:14.473873+00:00
BERT-base,6,0.40809112333071484,0.31223741875086897,46.141719818115234,0.8743228912353516,2546,2026-05-07T22:33:15.122676+00:00,2026-05-07T22:34:01.264410+00:00,2026-05-07T22:34:02.122970+00:00,2026-05-07T22:34:02.997300+00:00
BERT-base,7,0.43637077769049487,0.2651396959333551,46.03005361557007,0.8813691139221191,2546,2026-05-07T22:34:03.673240+00:00,2026-05-07T22:34:49.703318+00:00,2026-05-07T22:34:50.548591+00:00,2026-05-07T22:34:51.429969+00:00
BERT-base,8,0.39552238805970147,0.35415197272005816,46.01279950141907,0.8759918212890625,2546,2026-05-07T22:34:52.076695+00:00,2026-05-07T22:35:38.089519+00:00,2026-05-07T22:35:38.935814+00:00,2026-05-07T22:35:39.811812+00:00
BERT-base,9,0.3798114689709348,0.342565354827448,45.99187755584717,0.8926434516906738,2546,2026-05-07T22:35:40.441173+00:00,2026-05-07T22:36:26.433064+00:00,2026-05-07T22:36:27.297618+00:00,2026-05-07T22:36:28.190268+00:00
RoBERTa-base,0,0.4261586802827965,0.2844866297161717,48.61347317695618,0.8818597793579102,2546,2026-05-07T22:36:28.779707+00:00,2026-05-07T22:37:17.393194+00:00,2026-05-07T22:37:18.258353+00:00,2026-05-07T22:37:19.140219+00:00
RoBERTa-base,1,0.43637077769049487,0.2651396959333551,48.7372510433197,0.9020969867706299,2546,2026-05-07T22:37:19.737892+00:00,2026-05-07T22:38:08.475161+00:00,2026-05-07T22:38:09.347931+00:00,2026-05-07T22:38:10.250038+00:00
RoBERTa-base,2,0.43637077769049487,0.2651396959333551,48.832515001297,0.8963704109191895,2546,2026-05-07T22:38:10.931232+00:00,2026-05-07T22:38:59.763771+00:00,2026-05-07T22:39:00.632438+00:00,2026-05-07T22:39:01.528815+00:00
RoBERTa-base,3,0.4265514532600157,0.28661519820074705,48.983577251434326,0.8962512016296387,2546,2026-05-07T22:39:02.149395+00:00,2026-05-07T22:39:51.132990+00:00,2026-05-07T22:39:52.012096+00:00,2026-05-07T22:39:52.908355+00:00
RoBERTa-base,4,0.4230164964650432,0.2863237372532924,48.99293923377991,0.9214670658111572,2546,2026-05-07T22:39:53.539676+00:00,2026-05-07T22:40:42.532639+00:00,2026-05-07T22:40:43.415670+00:00,2026-05-07T22:40:44.337143+00:00
RoBERTa-base,5,0.43637077769049487,0.2651396959333551,49.0868661403656,0.9218175411224365,2546,2026-05-07T22:40:45.017792+00:00,2026-05-07T22:41:34.104672+00:00,2026-05-07T22:41:34.981991+00:00,2026-05-07T22:41:35.903814+00:00
RoBERTa-base,6,0.43597800471327575,0.276329994279013,49.11880588531494,0.9299485683441162,2546,2026-05-07T22:41:36.554722+00:00,2026-05-07T22:42:25.673541+00:00,2026-05-07T22:42:26.570443+00:00,2026-05-07T22:42:27.500398+00:00
