model,raw_f1,adjusted_f1,delta
BERT-base,0.3271693214697316,0.32530775664978967,-0.00186156481994193
DistilBERT,0.33534290034983283,0.3420553071787992,0.006712406828966344
FinBERT,0.32912803990254513,0.32707754943764455,-0.0020504904649005784
RoBERTa-base,0.2772983936969543,0.2744980421528262,-0.00280035154412811
