,sum_sq,df,F,PR(>F)
C(model),0.0156504468496329,3.0,13.323229943978214,5.850141204300514e-06
energy_train_kwh,7.397713177869937e-07,1.0,0.0018893026124171821,0.9655770169316678
Residual,0.01370452565532551,35.0,,
