model,n_queries,total_tokens,time_s,time_per_query,time_per_token,wall_infer_start_iso,wall_infer_end_iso
DistilBERT,1000,128000,0.45255112648010254,0.0004525511264801025,3.535555675625801e-06,2026-05-07T22:54:16.677343+00:00,2026-05-07T22:54:17.129910+00:00
BERT-base,1000,128000,0.6656167507171631,0.0006656167507171631,5.2001308649778366e-06,2026-05-07T22:54:17.348414+00:00,2026-05-07T22:54:18.014042+00:00
RoBERTa-base,1000,128000,0.6372065544128418,0.0006372065544128418,4.978176206350326e-06,2026-05-07T22:54:18.241535+00:00,2026-05-07T22:54:18.878753+00:00
FinBERT,1000,128000,0.663088321685791,0.000663088321685791,5.180377513170242e-06,2026-05-07T22:54:19.287313+00:00,2026-05-07T22:54:19.950414+00:00
