timestamp_iso,cpu_energy_j,gpu_power_w,gpu_util_pct
2026-05-07T22:23:32.097522Z,13491.467109,29.629,42
2026-05-07T22:23:33.102598Z,13497.561332,28.836,19
2026-05-07T22:23:34.103561Z,13501.321515,29.551,18
2026-05-07T22:23:35.105244Z,13506.462127,27.399,22
2026-05-07T22:23:36.106954Z,13510.875629,26.229,18
2026-05-07T22:23:37.108758Z,13515.479499,27.127,18
2026-05-07T22:23:38.110126Z,13522.61095,27.668,44
2026-05-07T22:23:39.111405Z,13529.7529,30.38,15
2026-05-07T22:23:40.112923Z,13534.686481,27.769,11
2026-05-07T22:23:41.114474Z,13537.664073,25.79,18
2026-05-07T22:23:42.115409Z,13540.625614,26.436,21
2026-05-07T22:23:43.116938Z,13543.93249,27.129,18
2026-05-07T22:23:44.118472Z,13548.413375,27.111,24
2026-05-07T22:23:45.119463Z,13551.692297,26.904,18
2026-05-07T22:23:46.121013Z,13555.56686,29.264,22
2026-05-07T22:23:47.122542Z,13568.714531,26.171,18
2026-05-07T22:23:48.123465Z,13571.696152,25.905,20
2026-05-07T22:23:49.125004Z,13574.522561,25.952,18
2026-05-07T22:23:50.126539Z,13577.476777,26.073,18
2026-05-07T22:23:51.128019Z,13610.352181,26.297,16
2026-05-07T22:23:52.129251Z,13655.341385,26.048,21
2026-05-07T22:23:53.130433Z,13689.889148,25.846,17
2026-05-07T22:23:54.131622Z,13735.296563,54.964,16
2026-05-07T22:23:55.132836Z,13775.482617,170.145,48
2026-05-07T22:23:56.133965Z,13815.814423,285.622,92
2026-05-07T22:23:57.135086Z,13857.101061,283.876,92
2026-05-07T22:23:58.135407Z,13901.489009,284.531,93
2026-05-07T22:23:59.136544Z,13943.589914,283.941,88
2026-05-07T22:24:00.137667Z,13984.765773,286.034,93
2026-05-07T22:24:01.138812Z,14024.810654,290.156,92
2026-05-07T22:24:02.139361Z,14063.466255,292.683,93
2026-05-07T22:24:03.140479Z,14107.515764,310.071,93
2026-05-07T22:24:04.141604Z,14148.220128,288.462,92
2026-05-07T22:24:05.142730Z,14188.821159,289.695,93
2026-05-07T22:24:06.143406Z,14229.36323,293.155,94
2026-05-07T22:24:07.144581Z,14267.952426,291.32,92
2026-05-07T22:24:08.145710Z,14307.78167,294.794,93
2026-05-07T22:24:09.146833Z,14348.860056,293.473,92
2026-05-07T22:24:10.147365Z,14385.892676,297.7,93
2026-05-07T22:24:11.148515Z,14423.721131,296.427,93
2026-05-07T22:24:12.148990Z,14467.049756,299.842,92
2026-05-07T22:24:13.150198Z,14506.573336,292.694,93
2026-05-07T22:24:14.151360Z,14547.985706,295.531,92
2026-05-07T22:24:15.152490Z,14587.443918,294.644,92
2026-05-07T22:24:16.153679Z,14632.117876,294.133,94
2026-05-07T22:24:17.154885Z,14675.116423,288.235,93
2026-05-07T22:24:18.156192Z,14726.185628,289.418,91
2026-05-07T22:24:19.157401Z,14762.368641,297.257,93
2026-05-07T22:24:20.158635Z,14803.420782,298.912,93
2026-05-07T22:24:21.159422Z,14851.754337,351.762,92
2026-05-07T22:24:22.160722Z,14898.551154,183.493,6
