timestamp_iso,cpu_energy_j,gpu_power_w,gpu_util_pct
2026-05-06T21:12:53.935039Z,238752.205748,22.814,0
2026-05-06T21:12:54.938833Z,238755.369924,23.674,3
2026-05-06T21:12:55.940382Z,238758.175154,22.841,2
2026-05-06T21:12:56.941869Z,238760.924292,22.526,0
2026-05-06T21:12:57.943209Z,238764.030608,23.038,3
2026-05-06T21:12:58.944700Z,238768.472247,25.966,29
2026-05-06T21:12:59.946218Z,238772.554023,25.471,11
2026-05-06T21:13:00.947397Z,238780.706285,25.567,2
2026-05-06T21:13:01.948913Z,238783.973916,23.51,3
2026-05-06T21:13:02.950454Z,238787.050935,26.748,24
2026-05-06T21:13:03.951422Z,238794.44032,24.381,3
2026-05-06T21:13:04.953152Z,238799.195923,29.349,40
2026-05-06T21:13:05.955072Z,238805.732222,24.379,0
2026-05-06T21:13:06.956579Z,238810.636079,24.837,11
2026-05-06T21:13:07.958052Z,238814.278465,24.2,4
2026-05-06T21:13:08.959553Z,238817.411147,23.039,3
2026-05-06T21:13:09.961096Z,238820.480842,22.937,0
2026-05-06T21:13:10.962650Z,238823.494994,23.175,3
2026-05-06T21:13:11.963410Z,238838.986959,23.623,3
2026-05-06T21:13:12.964864Z,238844.445319,27.038,21
2026-05-06T21:13:13.966250Z,238850.566153,26.745,29
2026-05-06T21:13:14.967409Z,238855.907875,29.023,29
2026-05-06T21:13:15.968912Z,238886.026267,28.626,53
2026-05-06T21:13:16.970180Z,238894.178651,28.691,24
2026-05-06T21:13:17.971407Z,238900.733749,30.86,38
2026-05-06T21:13:18.972920Z,238908.462123,30.893,27
2026-05-06T21:13:19.974221Z,238913.867688,30.273,25
2026-05-06T21:13:20.975008Z,238919.803097,29.104,31
2026-05-06T21:13:21.976499Z,238929.19675,26.151,29
2026-05-06T21:13:22.977723Z,238935.240497,29.082,11
2026-05-06T21:13:23.979070Z,238949.966411,24.402,5
2026-05-06T21:13:24.979426Z,238960.321121,23.976,5
2026-05-06T21:13:25.980682Z,238980.214197,23.971,14
2026-05-06T21:13:26.982225Z,238983.684647,24.013,20
2026-05-06T21:13:27.983463Z,238990.876646,22.806,2
2026-05-06T21:13:28.985008Z,238996.432051,25.035,13
2026-05-06T21:13:29.986545Z,238999.797094,25.057,12
2026-05-06T21:13:30.987450Z,239003.033841,23.835,0
2026-05-06T21:13:31.988861Z,239006.003194,24.637,16
2026-05-06T21:13:32.990321Z,239012.968264,24.011,4
2026-05-06T21:13:33.991468Z,239015.950922,24.283,18
2026-05-06T21:13:34.993010Z,239018.386402,23.21,7
2026-05-06T21:13:35.994549Z,239021.547038,24.227,6
2026-05-06T21:13:36.996084Z,239023.951085,22.798,2
2026-05-06T21:13:37.997622Z,239026.503569,22.724,0
2026-05-06T21:13:38.999152Z,239028.844932,22.629,0
2026-05-06T21:13:40.000823Z,239031.312394,22.413,2
2026-05-06T21:13:41.002296Z,239033.617747,22.717,2
2026-05-06T21:13:42.003428Z,239038.627927,23.289,2
2026-05-06T21:13:43.004708Z,239042.087513,25.09,20
2026-05-06T21:13:44.006099Z,239044.93327,24.096,9
2026-05-06T21:13:45.007671Z,239052.24392,25.838,23
2026-05-06T21:13:46.009226Z,239055.801711,25.138,11
2026-05-06T21:13:47.010766Z,239061.732543,23.087,3
2026-05-06T21:13:48.011491Z,239065.798024,25.638,10
2026-05-06T21:13:49.013046Z,239069.0778,24.274,9
2026-05-06T21:13:50.014609Z,239073.354401,25.618,54
2026-05-06T21:13:51.015477Z,239077.243551,23.364,19
2026-05-06T21:13:52.017024Z,239082.101083,23.68,2
2026-05-06T21:13:53.018508Z,239084.878724,23.753,6
2026-05-06T21:13:54.019397Z,239087.768365,23.114,2
2026-05-06T21:13:55.020879Z,239090.497484,23.55,9
2026-05-06T21:13:56.022396Z,239092.943035,23.14,2
2026-05-06T21:13:57.023366Z,239098.079313,24.433,18
2026-05-06T21:13:58.024550Z,239102.402788,24.714,22
2026-05-06T21:13:59.026022Z,239105.210459,23.727,6
2026-05-06T21:14:00.027411Z,239108.307742,23.954,17
2026-05-06T21:14:01.028926Z,239114.442186,24.085,2
2026-05-06T21:14:02.030464Z,239117.273051,24.42,9
2026-05-06T21:14:03.031491Z,239122.936,22.995,0
2026-05-06T21:14:04.033022Z,239128.936473,23.198,3
2026-05-06T21:14:05.034501Z,239132.295961,22.883,2
2026-05-06T21:14:06.035552Z,239134.510494,22.796,0
2026-05-06T21:14:07.037211Z,239137.215871,22.755,0
2026-05-06T21:14:08.038923Z,239139.839582,22.838,0
